station,stationLabel,ibnr
http://www.wikidata.org/entity/Q373449,Gare de Toulouse-Matabiau,8700065
http://www.wikidata.org/entity/Q2199665,Gare de Troyes,8700273
http://www.wikidata.org/entity/Q2202002,Gare de Sète,8700099
http://www.wikidata.org/entity/Q2203151,Cambrai railway station,8700842
http://www.wikidata.org/entity/Q2289209,Boulogne-Ville railway station,8700450
http://www.wikidata.org/entity/Q2220602,Gare de Gourdon,8700537
http://www.wikidata.org/entity/Q734017,Gare d'Austerlitz,8700010
http://www.wikidata.org/entity/Q2310209,Hendaye station,8700149
http://www.wikidata.org/entity/Q2260577,Gare de Pau,8700106
http://www.wikidata.org/entity/Q2367995,Gare de Guéthary,8701222
http://www.wikidata.org/entity/Q2283118,Perpignan railway station,8700164
http://www.wikidata.org/entity/Q261320,Paris-Bercy-Bourgogne-Pays-d'Auvergne railway station,8702455
http://www.wikidata.org/entity/Q968875,Gare de Lourdes,8700105
http://www.wikidata.org/entity/Q2360563,Gare de Nîmes,8700151
http://www.wikidata.org/entity/Q1965397,Gare d'Orléans,8700404
http://www.wikidata.org/entity/Q2316352,Gare de Carmaux,8702976
http://www.wikidata.org/entity/Q1835221,Marseille-Blancarde,8700464
http://www.wikidata.org/entity/Q1900058,Gare de Périgueux,8700405
http://www.wikidata.org/entity/Q2342378,Gare de Bernay,8700221
http://www.wikidata.org/entity/Q2343526,Gare de Coutras,8700184
http://www.wikidata.org/entity/Q2373429,Gare de Montauban-Ville-Bourbon,8700057
http://www.wikidata.org/entity/Q1889066,Gare de Pont-l'Évêque,8701782
http://www.wikidata.org/entity/Q738970,Nice-Ville railway station,8700171
http://www.wikidata.org/entity/Q1897505,Gare d'Arles,8700139
http://www.wikidata.org/entity/Q2390674,Alençon railway station,8700141
http://www.wikidata.org/entity/Q2395722,Gare de Charleville-Mézières,8700050
http://www.wikidata.org/entity/Q3095863,Gare d'Uzerche,8702147
http://www.wikidata.org/entity/Q3096984,Gare de Marmande,8703918
http://www.wikidata.org/entity/Q371217,Marseille-Saint-Charles station,8700074
http://www.wikidata.org/entity/Q1942680,Gare de Châteauroux,8700181
http://www.wikidata.org/entity/Q84007,Thionville railway station,8700059
http://www.wikidata.org/entity/Q2050826,Longueau station,8700188
http://www.wikidata.org/entity/Q1959795,Gare de Biarritz,8700114
http://www.wikidata.org/entity/Q3096374,Dijon-Ville railway station,8700021
http://www.wikidata.org/entity/Q3095942,Bayonne railway station,8700257
http://www.wikidata.org/entity/Q2464665,Gare de Briançon,8700158
http://www.wikidata.org/entity/Q3095699,Gare d'Auray,8700206
http://www.wikidata.org/entity/Q3097610,Saint-Pierre-des-Corps station,8700006
http://www.wikidata.org/entity/Q3096565,Gare de Gramat,8703425
http://www.wikidata.org/entity/Q3096721,Gare de L'Aigle,8700315
http://www.wikidata.org/entity/Q3097248,Gare de Pamiers,8700493
http://www.wikidata.org/entity/Q1997656,Gare de Vire,8700424
http://www.wikidata.org/entity/Q3096112,Gare de Caen,8700223
http://www.wikidata.org/entity/Q3096433,Gare de Figeac,8703314
http://www.wikidata.org/entity/Q3096470,Gare de Fourchambault,8703343
http://www.wikidata.org/entity/Q3096772,Gare de La Charité,8703555
http://www.wikidata.org/entity/Q3096895,Gare de Lison,8700027
http://www.wikidata.org/entity/Q3096910,Gare de Lorient,8700207
http://www.wikidata.org/entity/Q3097089,Montpellier Sud de France station,8796008
http://www.wikidata.org/entity/Q3097140,Gare de Mussidan,8700183
http://www.wikidata.org/entity/Q3097149,Gare de Mérens-les-Vals,8703972
http://www.wikidata.org/entity/Q3097655,Gare de Saintes,8700418
http://www.wikidata.org/entity/Q3097700,Gare de Saverdun,8700498
http://www.wikidata.org/entity/Q3097805,Gare de Surdon,8700229
http://www.wikidata.org/entity/Q3097852,Gare de Tergnier,8700077
http://www.wikidata.org/entity/Q3097867,Gare de Thiviers,8702104
http://www.wikidata.org/entity/Q3097931,Valence-Ville railway station,8700056
http://www.wikidata.org/entity/Q3098218,Gare du Havre,8700112
http://www.wikidata.org/entity/Q2031679,Gare de Saint-Quentin,8700176
http://www.wikidata.org/entity/Q2129796,Boussens train station,8700474
http://www.wikidata.org/entity/Q2191696,Gare de Quimper,8700208
http://www.wikidata.org/entity/Q2118181,Gare de Foix,8700191
http://www.wikidata.org/entity/Q2121098,Gare de Niversac,8701687
http://www.wikidata.org/entity/Q2130184,Gare de Carcassonne,8700100
http://www.wikidata.org/entity/Q2219205,Gare d'Orthez,8700478
http://www.wikidata.org/entity/Q2178663,Gare de Nancy-Ville,8700018
http://www.wikidata.org/entity/Q2167884,Gare de Clermont-Ferrand,8700038
http://www.wikidata.org/entity/Q2155282,Gare de Dreux,8700214
http://www.wikidata.org/entity/Q2158378,Latour-de-Carol-Enveitg station,8700148
http://www.wikidata.org/entity/Q2233773,Gare de Capdenac,8700190
http://www.wikidata.org/entity/Q2186722,Gare de Cannes,8700144
http://www.wikidata.org/entity/Q2180175,Nantes station,8700020
http://www.wikidata.org/entity/Q2181974,Gare de Libourne,8700185
http://www.wikidata.org/entity/Q2182519,Gare d'Abbeville,8700238
http://www.wikidata.org/entity/Q2189086,Gare de Bayeux,8700224
http://www.wikidata.org/entity/Q2192230,Gare de Trouville-Deauville,8704747
http://www.wikidata.org/entity/Q800564,Bordeaux-Saint-Jean railway station,8700047
http://www.wikidata.org/entity/Q677714,Gare de Castelnaudary,8700549
http://www.wikidata.org/entity/Q800390,Gare d'Antibes,8700146
http://www.wikidata.org/entity/Q745942,Gare de Paris-Nord,8798014
http://www.wikidata.org/entity/Q605114,Gare de Folligny,8700218
http://www.wikidata.org/entity/Q745942,Gare de Paris-Nord,8700014
http://www.wikidata.org/entity/Q631114,Gare Montparnasse,8700013
http://www.wikidata.org/entity/Q757180,Gare de Paris-Est,8700011
http://www.wikidata.org/entity/Q747506,Gare Saint-Lazare,8700015
http://www.wikidata.org/entity/Q771166,Gare de Valognes,8700226
http://www.wikidata.org/entity/Q658277,Gare de Limoges-Bénédictins,8700029
http://www.wikidata.org/entity/Q664142,Creil station,8700072
http://www.wikidata.org/entity/Q545754,Gare de Briare,8702920
http://www.wikidata.org/entity/Q581174,Gare de Tarascon-sur-Ariège,8700494
http://www.wikidata.org/entity/Q660934,Gare de Bourges,8700042
http://www.wikidata.org/entity/Q801179,Gare de Metz-Ville,8700019
http://www.wikidata.org/entity/Q927533,Gare de Lisieux,8700222
http://www.wikidata.org/entity/Q952091,Gare d'Angers-Saint-Laud,8700022
http://www.wikidata.org/entity/Q967312,Gare de Flers,8700217
http://www.wikidata.org/entity/Q801197,Montpellier-Saint-Roch railway station,8700097
http://www.wikidata.org/entity/Q801356,Gare de Reims,8700081
http://www.wikidata.org/entity/Q962179,Gare de Dieppe,8700085
http://www.wikidata.org/entity/Q977356,Cerbère railway station,8700147
http://www.wikidata.org/entity/Q801473,Strasbourg-Ville station,8700023
http://www.wikidata.org/entity/Q1825470,Gare de Chaumont,8700051
http://www.wikidata.org/entity/Q1811170,Gare de Briouze,8700216
http://www.wikidata.org/entity/Q1818259,Gare de Vitry-le-François,8700082
http://www.wikidata.org/entity/Q1826892,Gare de Noyon,8700247
http://www.wikidata.org/entity/Q1830641,Gare de Lannemezan,8700475
http://www.wikidata.org/entity/Q1836536,Dijon-Porte-Neuve railway station,8700429
http://www.wikidata.org/entity/Q1842714,Gare de Carentan,8700225
http://www.wikidata.org/entity/Q1846734,Gare de Puyoô,8700061
http://www.wikidata.org/entity/Q1867341,Gare de Vannes,8700205
http://www.wikidata.org/entity/Q1888691,Gare de Busigny,8700016
http://www.wikidata.org/entity/Q1876295,Tours railway station,8700161
http://www.wikidata.org/entity/Q2405585,Gare de Rodez,8700194
http://www.wikidata.org/entity/Q2446168,Gare de Tarbes,8700104
http://www.wikidata.org/entity/Q2456461,Gien railway station,8703395
http://www.wikidata.org/entity/Q2457571,Gare d'Auterive,8702725
http://www.wikidata.org/entity/Q2485783,Gare de Granville,8700306
